Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
23/2/2011,306.0417843,-65.58,23.03,-410.598,153.5273449,29.03294559,-40.64703443
24/2/2011,-19.15924715,-55.85,137.94,-12.173,10.59835076,-443.939475,-111.9457829
25/2/2011,64.49422946,-5.53,159.04,18.278,-30.15949367,54.0678211,775.5010366
28/2/2011,-171.1824056,-375.52,0,97.423,-324.4804872,138.3567416,564.3557447
1/3/2011,23.84196185,386.55,480.23,-9.611,98.50876028,19.12492168,-196.4439841
2/3/2011,52.20154335,0,-11.67,4.071,321.0225259,448.2225529,50.07848746
3/3/2011,-114.6684832,260.56,0,-112.472,32.644332,1101.152815,115.6587246
4/3/2011,35.25932666,102.2,275.57,37.544,-65.57851662,945.3542441,-1074.209879
7/3/2011,91.03322713,-59.43,115.17,-79.61,442.8460664,29.54368207,-248.7102791
8/3/2011,109.2398726,108.3,328.98,-5.522,-51.76851138,429.9557894,683.221265
9/3/2011,111.5664845,-150.47,-6.41,-376.343,-146.330605,194.9648005,405.8926264
10/3/2011,234.5440055,100.95,86.8,35.478,27.11407114,-635.7319477,-122.5092758
11/3/2011,50.10248235,211.37,152.52,-39.838,23.46941449,580.7602096,418.7795221
14/3/2011,-26.24671916,20.44,126.81,-112.606,0,432.2379901,-475.3266157
15/3/2011,-20.50580998,34.1,-16.6,-621.297,0,180.6754049,-14.43955816
16/3/2011,56.954095,188.44,0,401.916,-90.87608319,-833.0831585,-47.72657919
17/3/2011,-200.3871115,-239.16,151.76,-71.107,0,204.0640608,160.8707642
18/3/2011,23.93707968,-14.86,311.01,-92.257,-188.2996041,-11.39848252,306.0593383
21/3/2011,-145.4253979,-112.6,26.85,0,32.09678093,0,-123.9713206
22/3/2011,0,-243.39,296.65,251.485,-46.70621974,-182.2550894,227.3076111
23/3/2011,222.4005503,52.86,-3.04,13.156,75.90008418,267.4577544,247.3321919
24/3/2011,478.3207158,97.32,224.37,433.783,75.55591189,-3275.914469,-362.7525074
25/3/2011,0,-36.43,73.96,249.8,72.51950119,1342.012229,39.78045872
28/3/2011,113.5581555,-177,0,-32.49,-35.6786505,351.6484068,-776.0452256
29/3/2011,109.0575135,-172.42,301.76,49.349,24.059681,359.2193882,-528.3524092
30/3/2011,25.2293578,12.93,16.59,-51.008,365.1603779,184.411206,985.6223176
31/3/2011,48.23151125,0,102.24,284.813,-7.325275431,-49.23230904,-632.5688557
1/4/2011,27.59889604,0,493.25,427.645,1.219408385,131.3744957,-425.7422235
4/4/2011,63.48839894,-55.26,410.3,136.039,127.0194646,706.991704,814.2968143
5/4/2011,118.965119,67.7,97.34,-25.737,-117.0109491,1006.263276,100.7798868
6/4/2011,-9.245348434,-480.7,0,41.737,91.82831293,682.5736151,202.7782789
7/4/2011,-101.5228426,-196.81,430.15,193.114,-273.87012,-1234.51784,-72.16792296
8/4/2011,150.2369121,389.13,372.36,-7.662,-20.82412553,717.7169397,282.9998903
11/4/2011,67.02877615,226.81,501.03,44.277,444.0700087,298.8403599,-152.9670729
12/4/2011,192.7738659,0,515.75,143.893,28.95341649,122.1937199,963.5796197
13/4/2011,115.5001155,116.16,0,122.026,139.0094985,-297.1002197,41.79909608
14/4/2011,208.8622202,0,0,141.47,28.7018249,-466.009348,35.09415954
15/4/2011,-85.37148131,77.5,0,305.245,-175.1845521,4.803961041,1390.432369
18/4/2011,-34.57017746,76.18,161.68,-35.69,26.18841591,-38.88044612,-543.1806026
19/4/2011,-1.151012891,-255.47,339.28,125.137,-57.06236674,325.7980568,-89.42366757
20/4/2011,-52.0110957,41.63,-48.18,180.012,250.5780008,-700.3888674,-111.1732865
21/4/2011,-186.5585168,159.36,322.56,60.853,61.38803324,0,-402.9487747
22/4/2011,0,0,202.2,0,242.3306554,0,-694.1467011
25/4/2011,110.1704743,148.29,373.51,0,0,185.2283444,0
26/4/2011,56.6932778,29.32,581.56,144.608,-282.8140087,244.6720816,802.9008654
27/4/2011,193.5558646,-22.68,87.61,0,55.94528386,465.4163242,352.6978146
28/4/2011,187.6238201,-322.81,426.58,215.849,63.04428563,-39.85124324,-23.84823848
29/4/2011,119.1171318,-99.31,149.5,15.808,39.05776478,815.2434519,-101.3292164
2/5/2011,0,94.5,0,0,14.90763097,-162.261985,401.6771172
3/5/2011,-10.53124269,262.43,414.67,137.631,76.23943347,1104.056027,0.526751449
4/5/2011,-40.92131416,212.7,19.46,89.412,-51.74844599,265.411189,206.0180843
5/5/2011,-94.49370042,135.93,0,226.959,580.3802127,496.9742568,-56.87854918
6/5/2011,22.12389381,10.09,32.84,292.209,-3.351135431,437.4721924,222.8426212
9/5/2011,50.2747574,127.59,-143.2,31.832,649.6668124,310.782661,80.76402851
10/5/2011,-53.78229861,243.16,180.12,506.428,122.6900489,204.7858823,-121.7694567
11/5/2011,17.58293283,-125.56,63.38,99.676,372.04438,638.1548346,22.59784541
12/5/2011,337.4197315,26.81,95.34,132.782,312.9432424,93.99377616,297.9562097
13/5/2011,0,-91.69,195.9,127.711,-408.3553218,149.1012218,-7.032762205
16/5/2011,153.8640867,216.66,0,-86.079,75.03139013,200.872529,-918.888569
17/5/2011,0,0,0,70.601,104.0824126,-243.778019,268.9797694
18/5/2011,85.25049632,54.33,-143.21,0,-92.71118691,-153.418002,1227.812159
19/5/2011,-40.92131416,-18.5,-119.57,-13.813,65.94568385,-436.3445712,-782.0325619
20/5/2011,-9.372071228,155.95,-73.23,7.673,-284.5499463,602.620467,571.3295299
23/5/2011,119.8650064,217.86,-102.51,-67.003,-515.1057807,86.05323285,125.4749875
24/5/2011,101.5050753,-480.27,1.51,38.91,4.581143096,81.59044193,105.8563062
25/5/2011,-69.74311287,-139.77,0,-15.23,71.59751514,124.0557256,-654.1022634
26/5/2011,-45.44395246,-201.33,1.43,175.401,-45.11284211,-22.18309557,431.6600398
27/5/2011,-211.3251605,-197.03,-20.4,65.874,-29.88579578,-233.4531368,388.8848791
31/5/2011,147.4891724,-29.05,251.86,192.789,-39.14822615,336.7132928,349.5461008
1/6/2011,17.56851722,-59.36,53.25,-88.587,154.032476,862.5128172,646.5725734
2/6/2011,0,120.45,-177.57,177.29,51.08345059,-845.8158098,-15.73557481
