,period,variable,value
581,2012-12-17,Short Term,10.73594937
582,2012-12-18,Short Term,9.660856158
583,2012-12-19,Short Term,9.422671056
584,2012-12-20,Short Term,9.444778917
585,2012-12-21,Short Term,9.717494678
586,2012-12-24,Short Term,9.162890162
587,2012-12-26,Short Term,8.979138478
588,2012-12-27,Short Term,8.829082756
589,2012-12-28,Short Term,7.948822703
590,2012-12-31,Short Term,8.225298833
591,2013-01-02,Short Term,8.562208251
592,2013-01-03,Short Term,7.953360948
593,2013-01-04,Short Term,7.960655692
594,2013-01-07,Short Term,7.95260226
595,2013-01-08,Short Term,8.378066228
596,2013-01-09,Short Term,7.896056521
597,2013-01-10,Short Term,7.815335697
598,2013-01-11,Short Term,8.139736033
599,2013-01-14,Short Term,8.014100186
600,2013-01-15,Short Term,8.126139693
601,2013-01-16,Short Term,8.229885879
602,2013-01-17,Short Term,8.625324412
603,2013-01-18,Short Term,9.182198882
604,2013-01-22,Short Term,9.487279828
605,2013-01-23,Short Term,9.197323356
606,2013-01-24,Short Term,9.551383976
607,2013-01-25,Short Term,9.367049317
608,2013-01-28,Short Term,9.511245785
609,2013-01-29,Short Term,9.357892929
610,2013-01-30,Short Term,9.770980751
611,2013-01-31,Short Term,10.00391354
612,2013-02-01,Short Term,9.890056389
613,2013-02-04,Short Term,9.75651336
614,2013-02-05,Short Term,9.557953167
615,2013-02-06,Short Term,8.925259036
616,2013-02-07,Short Term,8.91192171
617,2013-02-08,Short Term,9.924321971
618,2013-02-11,Short Term,9.828199048
619,2013-02-12,Short Term,9.734589149
620,2013-02-13,Short Term,9.12442716
621,2013-02-14,Short Term,9.094714473
622,2013-02-15,Short Term,8.611435418
623,2013-02-19,Short Term,8.736659657
624,2013-02-20,Short Term,8.700280806
625,2013-02-21,Short Term,8.76936783
626,2013-02-22,Short Term,9.116108981
627,2013-02-25,Short Term,9.28440668
628,2013-02-26,Short Term,9.097603342
629,2013-02-27,Short Term,10.06681299
630,2013-02-28,Short Term,9.698843695
631,2013-03-01,Short Term,9.412616167
632,2013-03-04,Short Term,9.219290402
633,2013-03-05,Short Term,9.637993902
634,2013-03-07,Short Term,9.215577933
635,2013-03-08,Short Term,8.670590473
636,2013-03-11,Short Term,8.723400625
637,2013-03-12,Short Term,9.75734436
638,2013-03-13,Short Term,9.617903083
